|     Sum Type |    Data size |  Access Rate |       Cycles |     Checksum |
|     Sum1 k=1 |         8192 | 199451581.19 |            8 |  536870912.0 |  
|     Sum2 k=1 |         8192 | 199542066.55 |            8 |  536870912.0 |  
|  Sum1 k=gold |         8192 | 199639931.64 |            8 |  536870912.0 | 
|  Sum2 k=gold |         8192 |  90890557.15 |            8 |  536870912.0 | 
|     Sum1 k=1 |        16384 | 199712632.73 |            8 | 2147483648.0 |  
|     Sum2 k=1 |        16384 | 193220933.64 |            8 | 2147483648.0 |  
|  Sum1 k=gold |        16384 | 199816148.17 |            8 | 2147483648.0 | 
|  Sum2 k=gold |        16384 |  94284464.70 |            8 | 2147483648.0 | 
|     Sum1 k=1 |        32768 | 199773511.17 |            8 | 8589934592.0 |  
|     Sum2 k=1 |        32768 | 199927547.01 |            8 | 8589934592.0 |  
|  Sum1 k=gold |        32768 | 199898580.51 |            8 | 8589934592.0 | 
|  Sum2 k=gold |        32768 |  35664826.49 |            8 | 8589934592.0 | 
|     Sum1 k=1 |        65536 | 199775870.96 |            8 | 34359738368.0 |  
|     Sum2 k=1 |        65536 | 198895899.53 |            8 | 34359738368.0 |  
|  Sum1 k=gold |        65536 | 199925946.01 |            8 | 34359738368.0 | 
|  Sum2 k=gold |        65536 |  33586898.98 |            8 | 34359738368.0 | 
|     Sum1 k=1 |       131072 | 199787670.73 |            8 | 137438953472.0 |  
|     Sum2 k=1 |       131072 | 199477875.73 |            8 | 137438953472.0 |  
|  Sum1 k=gold |       131072 | 167048186.52 |            8 | 137438953472.0 | 
|  Sum2 k=gold |       131072 |  26722584.73 |            8 | 137438953472.0 | 
|     Sum1 k=1 |       262144 | 199343251.04 |            4 | 274877906944.0 |  
|     Sum2 k=1 |       262144 | 199453971.32 |            4 | 274877906944.0 |  
|  Sum1 k=gold |       262144 | 164370170.85 |            4 | 274877906944.0 | 
|  Sum2 k=gold |       262144 |  26800987.86 |            4 | 274877906944.0 | 
|     Sum1 k=1 |       524288 | 197921344.19 |            2 | 549755813888.0 |  
|     Sum2 k=1 |       524288 | 197473352.92 |            2 | 549755813888.0 |  
|  Sum1 k=gold |       524288 |  91491201.99 |            2 | 549755813888.0 | 
|  Sum2 k=gold |       524288 |  12477725.28 |            2 | 549755813888.0 | 
|     Sum1 k=1 |      1048576 | 196775517.46 |            1 | 1099511627776.0 |  
|     Sum2 k=1 |      1048576 | 196176546.47 |            1 | 1099511627776.0 |  
|  Sum1 k=gold |      1048576 |  88760816.97 |            1 | 1099511627776.0 | 
|  Sum2 k=gold |      1048576 |  10075333.72 |            1 | 1099511627776.0 | 
|     Sum1 k=1 |      2097152 | 196412275.17 |            1 | 4398046511104.0 |  
|     Sum2 k=1 |      2097152 | 195957128.40 |            1 | 4398046511104.0 |  
|  Sum1 k=gold |      2097152 |  81790030.53 |            1 | 4398046511104.0 | 
|  Sum2 k=gold |      2097152 |   6519615.73 |            1 | 4398046511104.0 | 
|     Sum1 k=1 |      4194304 | 196284887.47 |            1 | 17592186044416.0 |  
|     Sum2 k=1 |      4194304 | 195712079.03 |            1 | 17592186044416.0 |  
|  Sum1 k=gold |      4194304 |  80681937.25 |            1 | 17592186044416.0 | 
|  Sum2 k=gold |      4194304 |   6592346.58 |            1 | 17592186044416.0 | 
|     Sum1 k=1 |      8388608 | 195255941.08 |            1 | 70368744177664.0 |  
|     Sum2 k=1 |      8388608 | 194853734.87 |            1 | 70368744177664.0 |  
|  Sum1 k=gold |      8388608 |   5123930.26 |            1 | 70368744177664.0 | 
|  Sum2 k=gold |      8388608 |   5052643.73 |            1 | 70368744177664.0 | 
|     Sum1 k=1 |     16777216 | 195598383.04 |            1 | 281474976710656.0 |  
|     Sum2 k=1 |     16777216 | 194846244.40 |            1 | 281474976710656.0 |  
|  Sum1 k=gold |     16777216 |   4655564.81 |            1 | 281474976710656.0 | 
|  Sum2 k=gold |     16777216 |   4590282.76 |            1 | 281474976710656.0 | 
|     Sum1 k=1 |     33554432 | 195621724.55 |            1 | 1125899906842624.0 |  
|     Sum2 k=1 |     33554432 | 194803912.59 |            1 | 1125899906842624.0 |  
|  Sum1 k=gold |     33554432 |   4124099.75 |            1 | 1125899906842624.0 | 
|  Sum2 k=gold |     33554432 |   4123891.45 |            1 | 1125899906842624.0 | 
|     Sum1 k=1 |     67108864 | 195622244.04 |            1 | 4503599627370496.0 |  
|     Sum2 k=1 |     67108864 | 194848392.48 |            1 | 4503599627370496.0 |  
|  Sum1 k=gold |     67108864 |   4125116.61 |            1 | 4503599627370496.0 | 
|  Sum2 k=gold |     67108864 |   4062200.44 |            1 | 4503599627370496.0 | 
|     Sum1 k=1 |    134217728 | 195560147.38 |            1 | 18014398509481984.0 |  
|     Sum2 k=1 |    134217728 | 194832157.21 |            1 | 18014398509481984.0 |  
|  Sum1 k=gold |    134217728 |   4123984.97 |            1 | 18014398509481984.0 | 
|  Sum2 k=gold |    134217728 |   3968609.66 |            1 | 18014398509481984.0 | 
|     Sum1 k=1 |    268435456 | 195580845.07 |            1 | 72057594037927936.0 |  
|     Sum2 k=1 |    268435456 | 194811960.66 |            1 | 72057594037927936.0 |  
|  Sum1 k=gold |    268435456 |   4123792.49 |            1 | 72057594037927936.0 | 
|  Sum2 k=gold |    268435456 |   4003270.79 |            1 | 72057594037927936.0 | 
