Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj
0,"__omp_offloading_2d_b5a8334__Z2mmiidii_l38.kd",0,0,0,38995,38995,20480,256,512,0,44,48,0,0x7f994b45e800,0x7f9847400d00
1,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,1,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
2,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,2,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
3,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,3,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
4,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,4,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
5,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,5,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
6,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,6,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
7,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,7,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
8,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,8,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
9,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,9,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
10,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,10,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
11,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,11,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
12,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,12,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
13,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,13,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
14,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,14,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
15,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,15,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
16,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,16,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
17,"__omp_offloading_2d_b5a8334__Z9mm_kernelPdS_S_iii_l13.kd",0,0,17,38995,38995,20480,256,512,0,32,56,5120,0x7f994b45e800,0x7f9847400cc0
