Index,KernelName,gpu-id,queue-id,queue-index,pid,tid,grd,wgr,lds,scr,vgpr,sgpr,fbar,sig,obj
0,"__omp_offloading_2d_b5a82a4__Z5triadmmll_l34.kd",0,0,0,247774,247774,256,256,1024,0,44,48,4864,0x7f317c10e800,0x7f3173c00cc0
1,"__omp_offloading_2d_b5a82a4__Z5triadmmll_l49.kd",0,0,1,247774,247774,25600,256,1024,0,44,64,3423764553,0x7f317c10e800,0x7f3173c00d00
2,"__omp_offloading_2d_b5a82a4__Z5triadmmll_l34.kd",0,0,2,247774,247774,256,256,1024,0,44,48,4864,0x7f317c10e800,0x7f3173c00cc0
3,"__omp_offloading_2d_b5a82a4__Z5triadmmll_l49.kd",0,0,3,247774,247774,25600,256,1024,0,44,64,3423764553,0x7f317c10e800,0x7f3173c00d00
4,"__omp_offloading_2d_b5a82a4__Z5triadmmll_l34.kd",0,0,4,247774,247774,256,256,1024,0,44,48,4864,0x7f317c10e800,0x7f3173c00cc0
5,"__omp_offloading_2d_b5a82a4__Z5triadmmll_l49.kd",0,0,5,247774,247774,25600,256,1024,0,44,64,3423764553,0x7f317c10e800,0x7f3173c00d00
6,"__omp_offloading_2d_b5a82a4__Z5triadmmll_l34.kd",0,0,6,247774,247774,256,256,1024,0,44,48,4864,0x7f317c10e800,0x7f3173c00cc0
7,"__omp_offloading_2d_b5a82a4__Z5triadmmll_l49.kd",0,0,7,247774,247774,25600,256,1024,0,44,64,3423764553,0x7f317c10e800,0x7f3173c00d00
8,"__omp_offloading_2d_b5a82a4__Z5triadmmll_l34.kd",0,0,8,247774,247774,256,256,1024,0,44,48,4864,0x7f317c10e800,0x7f3173c00cc0
9,"__omp_offloading_2d_b5a82a4__Z5triadmmll_l49.kd",0,0,9,247774,247774,25600,256,1024,0,44,64,3423764553,0x7f317c10e800,0x7f3173c00d00
10,"__omp_offloading_2d_b5a82a4__Z5triadmmll_l34.kd",0,0,10,247774,247774,256,256,1024,0,44,48,4864,0x7f317c10e800,0x7f3173c00cc0
11,"__omp_offloading_2d_b5a82a4__Z5triadmmll_l49.kd",0,0,11,247774,247774,25600,256,1024,0,44,64,3423764553,0x7f317c10e800,0x7f3173c00d00
12,"__omp_offloading_2d_b5a82a4__Z5triadmmll_l34.kd",0,0,12,247774,247774,256,256,1024,0,44,48,4864,0x7f317c10e800,0x7f3173c00cc0
13,"__omp_offloading_2d_b5a82a4__Z5triadmmll_l49.kd",0,0,13,247774,247774,25600,256,1024,0,44,64,3423764553,0x7f317c10e800,0x7f3173c00d00
